C1,C2,C3,C4,C5
Review ID,Review Content,Rating,Date,Country
R2PALAAI6TFDFA,"Pros:
* Easy installation.
* Good spray quality from both the overhead and handheld shower heads.
* Affordable price.
Cons:
* Flimsy construction.
* Difficult to tighten moving parts.
* Initial leakage at the pipe connection (required additional tape to fix).
Overall: This rain shower head is a good value for those on a budget. The spray is enjoyable, and installation is simple. However, be prepared for potential leakage and a slightly less robust build. If you need a cheap rain shower head, it gets the job done.",3,2025-03-25,United States
R3L6U6PSXIYTIR,"The first few times using it the stream is awesome!! It comes out just like a rain shower. After though, the jets get clogged. We have a full house water filtration and purification system and it doesn’t create hard water. So, not sure where the issue lies at.",3,2025-03-21,United States
R3MVC57KX3HJ26,"It works great without restrictor but the holder for the smaller head , isnt very good , it slips off slamming onto the tub , it is annoying but the main head I'm happy with and installed so I'm ot returning but being more cautious about that next buy",3,2025-04-08,United States
R3UYPWQEV6JHRS,"Got here quick, easy and convenient to install. The WAND is high pressure, the main shower head is a low pressure rain style. Not what I wanted, misleading title and description. It works, doesn't leak, so you get 3/5 stars.",3,2025-03-26,United States
R3DUI9YX2553QI,Es una buena regadera al principio pero al poco tiempo deja de salir el agua de la shower head grande. Cosa que nunca me había pasado con ninguna regadera.,3,2025-04-01,United States
R10584NPJGT9HO,"I’m guessing it is probably due to the size of flow, the amount of holes, but the pressure isn’t very good",3,2025-04-07,United States
RDY7RXF2OK8LV,"Easy to install, looks great, and instant upgrade to the bathroom decor. It has great water pressure from each option by themselves. However, when using it in combo mode, the water pressure is non existent. This is due to the water flow actuater installed that restricts the flow to 1.8 gallons per minute. I returned after discovering this flaw.",3,2025-03-01,United States
RTDBDWV4FPZ09,"Shower head was great.... for about a month, then a constant drip. Product returned.",3,2025-03-26,United States
R335G1643A12CJ,"Overall, it’s a nice shower head for the price. I was very underwhelmed with the pressure from the rainfall shower head though. I don’t think it’s my water pressure in general because the handlheld shower head works great. The whole thing was fairly easy to install, took me about 20 min by myself. I got it together with no leaks on the first try. The only thing I would change is the water pressure coming from the rainfall portion.",3,2025-03-09,United States
R3CR7PXIMK75L1,Works ok. But immediately started spraying in weird directions not straight.,3,2025-04-01,United States
R1DL009W7BWM2R,"Tried to save a couple bucks because of the water in my area shower heads go bad in about a year, liked the shower setup but it is cheap so spend a little more and get the bigger one with the adjustment and it’s made to last a little longer",3,2025-02-07,United States
R17BYZUT1R1BV0,It’s been only 1.5 months since I started to use the product and it’s been already giving malfunctions. Some holes are not throwing water or drips only. I don’t think it’s useful .,3,2025-02-16,United States
R11KTT9EIRZPVP,"It was extremely easy to install, I did it by myself in 10 minutes and I'm not even that handy. Looks nice and easy to clean. Switching between different modes is easy to use, and the pressure is great for both the handheld and the shower head.
However, a huge issue for me is that less than a year later only 1/3 of the little holes in the rainfall shower head are working as intended. Some of them don't have water coming out at all and some of them spray the water every which way. I don't wash my hair every day and would like to keep it dry while I'm washing my face. This 360 water spraying leaves me and the whole area around the shower soaked. I clean my shower and the shower head regularly and never had such an issue with a rainfall type of installation before. I tried cleaning the holes with a toothpick and a brush but nothing seems to have any effect. So the only solution is to replace the whole thing, which I will do, but not with this brand.",2,2025-03-11,United States
R1EVAB7HR23PQV,"I’m speaking only on water pressure here. I came looking for any shower head that would dump the most water. Couldn’t find anything that anyone said was above the rest, and this one was a best seller that said high pressure so I tried it. The water fall is about a 3/10 and the hand held head is about a 6/10 which is still worse than the old one I had. The multiple settings is cool, it switches between the over head and the hand held really smoothly. Quality product, but go elsewhere if you want some power!",3,2024-12-25,United States
R4Z0RV8KDJU2L,It is a little small to be considered a rain shower head. But the shower extension is a nice addition.,3,2025-02-27,United States
R2Q5CWX2YNP8ER,No Content,3,2025-04-02,United States
R14NTUHCH4LSTS,"This showerhead came nicely packed and I had high hopes for it because of the great reviews but it is supposed to have 3 settings- showerhead only, showerhead and handheld and handheld only. When I set it to the middle setting for both the showerhead and handheld- the handheld has no pressure so when I set it to the showerhead only- the handheld leaks the entire time. I will be returning and am very sad about it because it is a nice looking showerhead.",3,2024-12-29,United States
RZTYM1LW14BZ8,"Overall I believe the quality and power of this shower head is pretty good. I love the rainfall and the hand held wand has strong pressure in different settings form. The wall stick was very secure however I don’t like the base for the wand, it’d be nice if it had more of a securement feature. Not just placed there to fall and get knocked down. Thats the reasoning of not 5 stars.

It would be nice if the rainfall head had some different spray features as well.",3,2025-01-23,United States
R2D4LVHF5GX3AX,It's beautiful and easy to put together.. I just wish there was better water pressure,3,2025-03-20,United States
R12DZM6GKICEZJ,The handheld wand has more water pressure than the big shower head! I'm disappointed!,3,2025-02-20,United States
RHY5S27D83U45,"Do yourself a favor and don’t gamble your time and money save yourself the headache and buy a brand that you know will work. I’ve gone through to of these now and they both have the same leaking issues from the same area in the coupling. I gave the benefit of the doubt on the first one and went ahead with the replacement option finally get some time to install it and they’re both leaking from the exact same “loose” area that allows the arm to pivot and from an engineering standpoint that is the worst ideas when it comes to fluids. Needless to say instead of the two nozzle option I get a complimentary 3 jet that spews like a geyser from an area that should be water tight. With that being said if I took some precious time out of my meager existence I could probably fix it but I’m not purely because I bought this with the intention of having a plug and play shower head and go about my life. Now please excuse me while I go and reattach my old shower head that doesn’t leak because it’s not an entire da Vinci mechanism just to hose myself off…

Edit & UPDATE***: Customer service rep contacted shortly after I left my review. They where extremely concerned with my personal qualm aswell the quality of the product they where distributing. In my personal humble opinion customer CS reaching out to me in a very professional and timely manner means more to me than a faulty piece of equipment. They went above and beyond fixing the the situation and I’m very grateful for their sincerity. With that I changed my original rating from a 1 star to a 3 star regarding their professional and timely customer satisfaction concern for their product quality.",3,2024-01-06,United States
RLGGZWW8WMDKP,No cae con presión el agua como se esperaba,3,2025-03-11,United States
R3R6PWZ2UJARB8,Feels awesome but uses up hot water VERY quickly,3,2025-02-28,United States
R2MUUCT9T9UAX9,I love the overhead rainfall feature it’s very relaxing but you can’t use both overhead and handheld at the same time because the water pressure drops significantly. I figured the handheld would have tons more pressure than the overhead but it’s not too much of a difference. Not a bad buy but I wouldn’t consider it high pressure at all,3,2025-01-04,United States
R37SCUGUN22I6Y,great but smaller than I thought,3,2025-02-28,United States
R7MJDZHJ8LITK,It is very stylish and affordable.,3,2025-03-17,United States
R3PZX95QP0XI5O,"UPDATED REVIEW:
After posting my review I was contacted by the seller and offered apologies and a full refund. It is refreshing to know there are still good sellers on-line. Although this item did not meet my expectations, I certainly recommend the seller.

ORIGINAL:
Looks nice, but not the quality I expected.
Very low water pressure and joints are flimsy.",3,2025-01-23,United States
R3U8GNLNFGS4TM,"I was very excited about this rain shower head with an extension arm. It was very easy to install, looks sleek, and it did not leak. Unfortunately, however, the pressure from the rain shower is barely there, such that using both the arm extension and rainfall at the same time is not realistic. That is without even using the pressure regulator that comes included if you need it. The arm extension has more pressure although not an impressive amount as my older shower head. The function options are also quite limited. Something odd in my experience with this shower is that I had to set the water to a much hotter setting for it to feel like the temperature that I normally use as compared to my previous shower head. This effect is even more pronounced with the arm extension, probably because of the long hose that gives the water a chance to cool down as it flows.

My bathroom is far from the water heater, and although I have never had an issue with other shower heads, this one seems to struggle with temperature regulation and driving water pressure. I think these experiences probably depend on the layout of your house, how much pressure you get, and how far you are from your water heater. It just did not work out for me.",3,2024-05-12,United States
R1S3SOY4Y3JEMN,I like it and it seems to be made well but it really lacks water pressure. We have great water pressure at our house but this makes it seems like we don't. I'll probably end up replacing just the shower head part with something else.,3,2025-01-29,United States
R3CDIORGJ3DEUA,shower head is average pressure don't be fooled by ratings . Just like any other shower head hook-up on market . listen it's all cap . our country is full of lies and company's are allowed to lie to us to make profit.,3,2025-01-03,United States
R1RAO9BD6KXVYT,The rain head isnt high flow what so ever but its nice enough for the price. The water flow won't get any soap out of your hair but that's what the hand holds for. The hand holds flow is really good and actually gets rid of all the conditoner and soap but it has a horrendous bracket that's annoying to deal with. Wish they made it so that it would actually stay in place but this is what you get for this price range. Really like being able to pause the water on handheld mode so I'll keep it but will be looking for a better bracket to keep it in place.,3,2024-12-06,United States
R22Q1LN48TRFGD,"Easy to install and works great! However, 5 months later, the water coming from the handheld piece still strongly smells of chemicals for about 10 seconds every time it’s used",3,2025-01-17,United States
